,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
8913,JoJo,Note to God - 2018,4CToaq7a1JQ7MFytACMItC,31,0.379,0.319,6,-5.929,0,0.0358,0.382,0.0,0.211,0.0383,115.883,270973,4
8914,JoJo,Note to God - 2018,4CToaq7a1JQ7MFytACMItC,31,0.379,0.319,6,-5.929,0,0.0358,0.382,0.0,0.211,0.0383,115.883,270973,4
8915,JoJo,Note to God - 2018,4CToaq7a1JQ7MFytACMItC,31,0.379,0.319,6,-5.929,0,0.0358,0.382,0.0,0.211,0.0383,115.883,270973,4
8916,JoJo,Note to God - 2018,4CToaq7a1JQ7MFytACMItC,31,0.379,0.319,6,-5.929,0,0.0358,0.382,0.0,0.211,0.0383,115.883,270973,4
8917,Gnavis,dreary,1vepEjDDLAY1bNyxupZ4Ae,42,0.734,0.295,8,-21.746,1,0.0512,0.895,0.947,0.378,0.407,120.88,124974,4
8918,Gnavis,dreary,1vepEjDDLAY1bNyxupZ4Ae,42,0.734,0.295,8,-21.746,1,0.0512,0.895,0.947,0.378,0.407,120.88,124974,4
8919,Gnavis,dreary,1vepEjDDLAY1bNyxupZ4Ae,42,0.734,0.295,8,-21.746,1,0.0512,0.895,0.947,0.378,0.407,120.88,124974,4
8920,Gnavis,dreary,1vepEjDDLAY1bNyxupZ4Ae,42,0.734,0.295,8,-21.746,1,0.0512,0.895,0.947,0.378,0.407,120.88,124974,4
8921,Gnavis,dreary,1vepEjDDLAY1bNyxupZ4Ae,42,0.734,0.295,8,-21.746,1,0.0512,0.895,0.947,0.378,0.407,120.88,124974,4
8922,Gnavis,dreary,1vepEjDDLAY1bNyxupZ4Ae,42,0.734,0.295,8,-21.746,1,0.0512,0.895,0.947,0.378,0.407,120.88,124974,4
8923,Gnavis,dreary,1vepEjDDLAY1bNyxupZ4Ae,42,0.734,0.295,8,-21.746,1,0.0512,0.895,0.947,0.378,0.407,120.88,124974,4
8924,Gnavis,dreary,1vepEjDDLAY1bNyxupZ4Ae,42,0.734,0.295,8,-21.746,1,0.0512,0.895,0.947,0.378,0.407,120.88,124974,4
8925,Gnavis,dreary,1vepEjDDLAY1bNyxupZ4Ae,42,0.734,0.295,8,-21.746,1,0.0512,0.895,0.947,0.378,0.407,120.88,124974,4
8926,Led Zeppelin,Whole Lotta Love - Live 1972; 2018 Remaster,2tv2oDLPa92DRMk7RhLRfW,34,0.377,0.719,2,-9.854,1,0.086,0.0329,0.0228,0.989,0.443,119.513,1261320,3
8927,Led Zeppelin,Whole Lotta Love - Live 1972; 2018 Remaster,2tv2oDLPa92DRMk7RhLRfW,34,0.377,0.719,2,-9.854,1,0.086,0.0329,0.0228,0.989,0.443,119.513,1261320,3
8928,Led Zeppelin,Whole Lotta Love - Live 1972; 2018 Remaster,2tv2oDLPa92DRMk7RhLRfW,34,0.377,0.719,2,-9.854,1,0.086,0.0329,0.0228,0.989,0.443,119.513,1261320,3
8929,Led Zeppelin,Whole Lotta Love - Live 1972; 2018 Remaster,2tv2oDLPa92DRMk7RhLRfW,34,0.377,0.719,2,-9.854,1,0.086,0.0329,0.0228,0.989,0.443,119.513,1261320,3
8930,Led Zeppelin,Whole Lotta Love - Live 1972; 2018 Remaster,2tv2oDLPa92DRMk7RhLRfW,34,0.377,0.719,2,-9.854,1,0.086,0.0329,0.0228,0.989,0.443,119.513,1261320,3
8931,Led Zeppelin,Whole Lotta Love - Live 1972; 2018 Remaster,2tv2oDLPa92DRMk7RhLRfW,34,0.377,0.719,2,-9.854,1,0.086,0.0329,0.0228,0.989,0.443,119.513,1261320,3
8932,Led Zeppelin,Whole Lotta Love - Live 1972; 2018 Remaster,2tv2oDLPa92DRMk7RhLRfW,34,0.377,0.719,2,-9.854,1,0.086,0.0329,0.0228,0.989,0.443,119.513,1261320,3
8933,Led Zeppelin,Whole Lotta Love - Live 1972; 2018 Remaster,2tv2oDLPa92DRMk7RhLRfW,34,0.377,0.719,2,-9.854,1,0.086,0.0329,0.0228,0.989,0.443,119.513,1261320,3
8934,Led Zeppelin,Whole Lotta Love - Live 1972; 2018 Remaster,2tv2oDLPa92DRMk7RhLRfW,34,0.377,0.719,2,-9.854,1,0.086,0.0329,0.0228,0.989,0.443,119.513,1261320,3
8935,Pet Shop Boys,Go West - 2018 Remaster; Hidden Track,0IivDxXQl7iF32i5yFy5e4,42,0.412,0.176,5,-7.284,1,0.0479,0.0108,0.000262,0.363,0.0377,120.699,503827,4
8936,Pet Shop Boys,Go West - 2018 Remaster; Hidden Track,0IivDxXQl7iF32i5yFy5e4,42,0.412,0.176,5,-7.284,1,0.0479,0.0108,0.000262,0.363,0.0377,120.699,503827,4
8937,Pet Shop Boys,Go West - 2018 Remaster; Hidden Track,0IivDxXQl7iF32i5yFy5e4,42,0.412,0.176,5,-7.284,1,0.0479,0.0108,0.000262,0.363,0.0377,120.699,503827,4
8938,Pet Shop Boys,Go West - 2018 Remaster; Hidden Track,0IivDxXQl7iF32i5yFy5e4,42,0.412,0.176,5,-7.284,1,0.0479,0.0108,0.000262,0.363,0.0377,120.699,503827,4
8939,Pet Shop Boys,Go West - 2018 Remaster; Hidden Track,0IivDxXQl7iF32i5yFy5e4,42,0.412,0.176,5,-7.284,1,0.0479,0.0108,0.000262,0.363,0.0377,120.699,503827,4
8940,Pet Shop Boys,Go West - 2018 Remaster; Hidden Track,0IivDxXQl7iF32i5yFy5e4,42,0.412,0.176,5,-7.284,1,0.0479,0.0108,0.000262,0.363,0.0377,120.699,503827,4
8941,Pet Shop Boys,Go West - 2018 Remaster; Hidden Track,0IivDxXQl7iF32i5yFy5e4,42,0.412,0.176,5,-7.284,1,0.0479,0.0108,0.000262,0.363,0.0377,120.699,503827,4
8942,Pet Shop Boys,Go West - 2018 Remaster; Hidden Track,0IivDxXQl7iF32i5yFy5e4,42,0.412,0.176,5,-7.284,1,0.0479,0.0108,0.000262,0.363,0.0377,120.699,503827,4
