,artist_name,followers,genre,popularity,ID
93,The Cranberries,"{'href': None, 'total': 1980484}","['irish rock', 'pop rock']",74,7t0rwkOPGlDPEhaOcVtOt9
94,Erykah Badu,"{'href': None, 'total': 1740541}","['afrofuturism', 'hip hop', 'neo soul', 'r&b', 'soul', 'urban contemporary']",68,7IfculRW2WXyzNQ8djX8WX
95,Duki,"{'href': None, 'total': 2945844}","['argentine hip hop', 'trap argentino']",81,1bAftSH8umNcGZ0uyV7LMg
96,Claude Debussy,"{'href': None, 'total': 888059}","['classical', 'post-romantic era']",70,1Uff91EOsvd99rtAupatMP
97,Sage The Gemini,"{'href': None, 'total': 663502}","['dance pop', 'hyphy', 'pop rap', 'rap', 'southern hip hop', 'trap']",68,6d47Z08T4snK50HgTEHo5Z
98,Slim Jxmmi,"{'href': None, 'total': 82440}",['trap'],68,7EEiVZvj6RCEtVX2F2pyxu
99,Juan Gabriel,"{'href': None, 'total': 4146559}","['cancion melodica', 'latin', 'latin pop']",75,2MRBDr0crHWE5JwPceFncq
100,Aries,"{'href': None, 'total': 153824}","['emo rap', 'pop rap', 'underground hip hop', 'vapor trap']",66,3hOdow4ZPmrby7Q1wfPLEy
101,Keala Settle,"{'href': None, 'total': 122901}","['broadway', 'hollywood', 'show tunes']",70,7HV2RI2qNug4EcQqLbCAKS
102,K.Flay,"{'href': None, 'total': 309084}","['escape room', 'hip pop', 'indie poptimism', 'indietronica', 'modern alternative rock', 'modern rock', 'rock']",67,0pCNk4D3E2xtszsm6hMsWr
103,Sleep Baby Sleep,"{'href': None, 'total': 20645}",['sleep'],67,6e5ygqf81ECK33tTPpbLLq
104,Mahalia,"{'href': None, 'total': 351584}","['alternative r&b', 'indie anthem-folk', 'indie r&b', 'indie soul', 'pop', 'uk contemporary r&b']",70,16rCzZOMQX7P8Kmn5YKexI
105,Jinsang,"{'href': None, 'total': 144114}","['chillhop', 'japanese chillhop', 'korean r&b', 'lo-fi beats']",67,5FsfZj0Mp6YwEWytuJUcWt
106,Killswitch Engage,"{'href': None, 'total': 1156827}","['alternative metal', 'boston metal', 'groove metal', 'melodic metalcore', 'metalcore', 'nu metal', 'post-grunge']",67,37394IP6uhnjIpsawpMu4l
107,REO Speedwagon,"{'href': None, 'total': 1167902}","['album rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'pop rock', 'rock', 'soft rock']",67,55vs7NT1KxcFjbMC4y202E
108,Rockabye Baby!,"{'href': None, 'total': 162512}",['lullaby'],65,5bHjVR4F2Tfq4Ha6x7K6wU
109,Kenny Loggins,"{'href': None, 'total': 515387}","['album rock', 'mellow gold', 'new wave pop', 'soft rock', 'yacht rock']",69,3Y3xIwWyq5wnNHPp5gPjOW
110,White Noise Meditation,"{'href': None, 'total': 4494}",['sleep'],64,0zaYnC5jWu6BKBz3vnNyZ6
111,Tycho,"{'href': None, 'total': 552858}","['chillwave', 'downtempo', 'indietronica', 'intelligent dance music']",66,5oOhM2DFWab8XhSdQiITry
112,Estelle,"{'href': None, 'total': 184407}",['r&b'],68,5T0MSzX9RC5NA6gAI6irSn
113,Lil' Kim,"{'href': None, 'total': 893957}","['dance pop', 'east coast hip hop', 'escape room', 'hip hop', 'hip pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap queen', 'urban contemporary']",68,5tth2a3v0sWwV1C7bApBdX
114,Mayday Parade,"{'href': None, 'total': 1057074}","['emo', 'neon pop punk', 'pop emo', 'pop punk']",66,3WfJ1OtrWI7RViX9DMyEGy
115,Sofia Carson,"{'href': None, 'total': 2042426}","['post-teen pop', 'social media pop']",71,7bp2lSdh12wcA8LyB1srfJ
116,Highly Suspect,"{'href': None, 'total': 381696}","['modern alternative rock', 'modern rock', 'rock']",65,2pqd3HsfsvcBGtHvPOg6eg
117,Wifisfuneral,"{'href': None, 'total': 434844}","['dark trap', 'florida rap', 'miami hip hop', 'rap', 'trap', 'underground hip hop', 'vapor trap']",64,1vb1XqzyNMQ16BqbxRz5BV
118,Wyclef Jean,"{'href': None, 'total': 212754}",['rap kreyol'],71,7aBzpmFXB4WWpPl2F7RjBe
119,Matthew West,"{'href': None, 'total': 516612}","['anthem worship', 'ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']",64,6e8OTLDQpaz1Tl2GEaxsNj
120,Felix Jaehn,"{'href': None, 'total': 969702}","['dance pop', 'edm', 'electro house', 'german dance', 'pop', 'tropical house']",79,4bL2B6hmLlMWnUEZnorEtG
121,Swizz Beatz,"{'href': None, 'total': 271299}","['battle rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",66,2cADQgiLMjNhbsfeN52Bf3
122,AWOLNATION,"{'href': None, 'total': 1667725}","['la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp pop']",68,4njdEjTnLfcGImKZu1iSrz
123,The Kinks,"{'href': None, 'total': 1467027}","['album rock', 'art rock', 'british invasion', 'classic rock', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'protopunk', 'psychedelic rock', 'rock', 'roots rock']",70,1SQRv42e4PjEYfPhS0Tk9E
124,Don Diablo,"{'href': None, 'total': 1583427}","['big room', 'edm', 'electro house', 'future house', 'house', 'pop', 'progressive electro house', 'progressive house', 'tropical house']",75,1l2ekx5skC4gJH8djERwh1
125,Merle Haggard,"{'href': None, 'total': 655925}","['bakersfield sound', 'country', 'country rock', 'nashville sound', 'outlaw country']",64,2ptmyXoL7poH6Zq62h1QT9
126,Shallou,"{'href': None, 'total': 123847}","['electropop', 'indie poptimism', 'indietronica', 'new french touch', 'tropical house', 'vapor soul']",68,7C3Cbtr2PkH2l4tOGhtCsk
127,Big Wild,"{'href': None, 'total': 136218}","['electropop', 'indie poptimism', 'indietronica', 'tropical house', 'vapor soul', 'vapor twitch']",64,0PxzGnCYBpSuaI49OR94cA
128,Heart,"{'href': None, 'total': 1245497}","['album rock', 'classic rock', 'hard rock', 'heartland rock', 'mellow gold', 'new wave pop', 'pop rock', 'rock', 'soft rock']",68,34jw2BbxjoYalTp8cJFCPv
129,24hrs,"{'href': None, 'total': 130437}","['trap', 'trap soul', 'underground hip hop', 'vapor trap']",65,4isewEHTP7Az2QheDdBQ6J
130,Binaural Beats Sleep,"{'href': None, 'total': 39408}","['binaural', 'brain waves', 'sleep']",66,5C95YXNLyaqbZjhwXMjZ4r
131,George Michael,"{'href': None, 'total': 2324493}","['new wave pop', 'soft rock']",74,19ra5tSw0tWufvUp8GotLo
132,George Harrison,"{'href': None, 'total': 1447460}","['album rock', 'classic rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock', 'soft rock']",70,7FIoB5PHdrMZVC3q2HE5MS
133,Solange,"{'href': None, 'total': 1013495}","['afrofuturism', 'alternative r&b', 'dance pop', 'electropop', 'escape room', 'hip pop', 'indie soul', 'neo soul', 'pop', 'r&b', 'urban contemporary']",66,2auiVi8sUZo17dLy1HwrTU
134,Hayley Williams,"{'href': None, 'total': 152919}",['pop punk'],69,6Rx1JKzBrSzoKQtmbVmBnM
135,Bullet For My Valentine,"{'href': None, 'total': 1878078}","['alternative metal', 'melodic metalcore', 'metalcore', 'nu metal', 'post-grunge', 'uk metalcore', 'welsh metal']",70,7iWiAD5LLKyiox2grgfmUT
136,Juhn,"{'href': None, 'total': 495040}","['latin', 'reggaeton', 'reggaeton flow', 'trap latino']",79,2LmcxBak1alK1bf7d1beTr
137,SEVENTEEN,"{'href': None, 'total': 3431587}","['k-pop', 'k-pop boy group']",73,7nqOGRxlXj7N2JYbgNEjYH
138,Ratatat,"{'href': None, 'total': 496057}","['alternative dance', 'new rave']",67,57dN52uHvrHOxijzpIgu3E
